date,item,price
2022-09-04,chickenpotsticker,2.70
2022-09-04,plate:generaltsochicken broccolibeef crispyshrimp,8.20
2022-09-04,crispyshrimp,2.70
2022-09-04,plate:honeysesamechicken broccolibeef friedrice,8.20
2022-09-04,bigplate:generaltsochicken honeysesamechicken sweetfirechickenbreast crispyshrimp,9.70
2022-09-04,bowl:honeywalnutshrimp chickeneggroll,6.70
2022-09-04,veggiespringroll,6.70
2022-09-04,bigplate:grilledteriyakichicken orangechicken honeysesamechicken chowmein,9.70
2022-09-04,crispyshrimp,6.70
2022-09-04,bowl:generaltsochicken chickenpotsticker,6.70
2022-09-04,plate:generaltsochicken honeywalnutshrimp mixedvegetables,8.20
2022-09-04,plate:grilledteriyakichicken stringbeanchickenbreast creamcheeserangoon,8.20
2022-09-04,plate:grilledteriyakichicken eggplanttofu chickeneggroll,8.20
2022-09-04,bigplate:sweetfirechickenbreast honeywalnutshrimp beijingbeef whiterice,9.70
2022-09-04,chickenpotsticker,6.70
2022-09-04,bowl:grilledteriyakichicken whiterice,6.70
2022-09-04,veggiespringroll,2.70
2022-09-04,brownrice,6.70
2022-09-04,veggiespringroll,6.70
2022-09-04,brownrice,6.70
2022-09-04,bigplate:beijingbeef honeysesamechicken broccolibeef veggiespringroll,9.70
2022-09-04,bigplate:sweetfirechickenbreast mushroomchicken kungpaochicken chickeneggroll,9.70
2022-09-04,plate:kungpaochicken blackpepperchicken mixedvegetables,8.20
2022-09-04,brownrice,6.70
2022-09-04,bigplate:honeywalnutshrimp generaltsochicken generaltsochicken chickeneggroll,9.70
2022-09-04,bigplate:beijingbeef generaltsochicken sweetfirechickenbreast crispyshrimp,9.70
2022-09-04,plate:beijingbeef broccolibeef whiterice,8.20
2022-09-04,crispyshrimp,6.70
2022-09-04,crispyshrimp,2.70
2022-09-04,bowl:beijingbeef veggiespringroll,6.70
2022-09-04,whiterice,2.70
2022-09-04,bowl:sweetfirechickenbreast chowmein,6.70
2022-09-04,plate:beijingbeef blackpepperchicken veggiespringroll,8.20
2022-09-04,brownrice,6.70
2022-09-04,creamcheeserangoon,2.70
2022-09-04,plate:mushroomchicken generaltsochicken crispyshrimp,8.20
2022-09-04,bowl:blackpepperangussteak veggiespringroll,6.70
2022-09-04,bowl:grilledteriyakichicken veggiespringroll,6.70
2022-09-04,whiterice,2.70
2022-09-04,veggiespringroll,6.70
2022-09-04,whiterice,2.70
2022-09-04,brownrice,2.70
2022-09-04,bigplate:honeysesamechicken stringbeanchickenbreast eggplanttofu chickeneggroll,9.70
2022-09-04,mixedvegetables,2.70
2022-09-04,chickenpotsticker,6.70
2022-09-04,plate:kungpaochicken beijingbeef brownrice,8.20
